INFO 2025-08-05 20:48:11,464 autoreload Watching for file changes with StatReloader
INFO 2025-08-05 20:49:12,442 autoreload C:\Users\matyt\Desktop\github_shin00x0\Realstate-project2\app\settings\production.py changed, reloading.
DEBUG 2025-08-05 20:49:12,442 proactor_events Using proactor: IocpProactor
INFO 2025-08-05 20:50:21,230 autoreload Watching for file changes with StatReloader
INFO 2025-08-05 20:51:04,649 autoreload C:\Users\matyt\Desktop\github_shin00x0\Realstate-project2\manage.py changed, reloading.
DEBUG 2025-08-05 20:51:04,649 proactor_events Using proactor: IocpProactor
INFO 2025-08-05 20:51:06,033 autoreload Watching for file changes with StatReloader
DEBUG 2025-08-05 20:54:11,118 connectionpool Starting new HTTPS connection (1): o4508789850505216.ingest.us.sentry.io:443
DEBUG 2025-08-05 20:54:18,816 connectionpool https://o4508789850505216.ingest.us.sentry.io:443 "POST /api/4508789852078080/envelope/ HTTP/1.1" 200 41
DEBUG 2025-08-05 20:55:14,291 connectionpool https://o4508789850505216.ingest.us.sentry.io:443 "POST /api/4508789852078080/envelope/ HTTP/1.1" 200 2
INFO 2025-08-05 20:55:33,693 autoreload C:\Users\matyt\Desktop\github_shin00x0\Realstate-project2\blog\views.py changed, reloading.
DEBUG 2025-08-05 20:55:33,693 proactor_events Using proactor: IocpProactor
INFO 2025-08-05 20:55:34,910 autoreload Watching for file changes with StatReloader
INFO 2025-08-05 20:55:46,903 autoreload C:\Users\matyt\Desktop\github_shin00x0\Realstate-project2\blog\views.py changed, reloading.
DEBUG 2025-08-05 20:55:46,904 proactor_events Using proactor: IocpProactor
INFO 2025-08-05 20:55:48,296 autoreload Watching for file changes with StatReloader
DEBUG 2025-08-05 20:56:04,990 connectionpool Starting new HTTPS connection (1): o4508789850505216.ingest.us.sentry.io:443
WARNING 2025-08-05 20:56:05,035 log Not Found: /static/css/ws.css
WARNING 2025-08-05 20:56:05,039 log Not Found: /images/logo-blue-stiky.png
WARNING 2025-08-05 20:56:05,046 log Not Found: /static/images/ws-white.png
WARNING 2025-08-05 20:56:05,070 log Not Found: /static/js/home_forms.js
WARNING 2025-08-05 20:56:05,116 log Not Found: /images/logo-blue.png
WARNING 2025-08-05 20:56:05,269 log Not Found: /static/images/1920x1080.jpg
DEBUG 2025-08-05 20:56:05,309 connectionpool https://o4508789850505216.ingest.us.sentry.io:443 "POST /api/4508789852078080/envelope/ HTTP/1.1" 200 41
DEBUG 2025-08-05 20:56:05,417 connectionpool https://o4508789850505216.ingest.us.sentry.io:443 "POST /api/4508789852078080/envelope/ HTTP/1.1" 200 41
WARNING 2025-08-05 20:56:05,443 log Not Found: /static/images/1920x1080.jpg
DEBUG 2025-08-05 20:56:05,519 connectionpool https://o4508789850505216.ingest.us.sentry.io:443 "POST /api/4508789852078080/envelope/ HTTP/1.1" 200 41
DEBUG 2025-08-05 20:56:05,624 connectionpool https://o4508789850505216.ingest.us.sentry.io:443 "POST /api/4508789852078080/envelope/ HTTP/1.1" 200 41
